127.0.0.1 - - [09/Dec/2021:14:39:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:39:09 +0530] "GET /ExamplesOfservlet/CheckboxinServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:39:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:40:24 +0530] "GET /ExamplesOfservlet/CheckBox.html HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:40:31 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=fdf&hobbies=Gardening&hobbies=Playing+Game HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:43:53 +0530] "GET /ExamplesOfservlet/CheckBox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:43:59 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=tom HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:12 +0530] "GET /ExamplesOfservlet/CheckBox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:21 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=Jerry&hobbies=Gardening&hobbies=Reading+Book&hobbies=Jogging HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:24 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=Jerry&hobbies=Gardening&hobbies=Reading+Book&hobbies=Jogging HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:24 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=Jerry&hobbies=Gardening&hobbies=Reading+Book&hobbies=Jogging HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:25 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=Jerry&hobbies=Gardening&hobbies=Reading+Book&hobbies=Jogging HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:25 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=Jerry&hobbies=Gardening&hobbies=Reading+Book&hobbies=Jogging HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:45:25 +0530] "GET /ExamplesOfservlet/CheckboxinServlet?name=Jerry&hobbies=Gardening&hobbies=Reading+Book&hobbies=Jogging HTTP/1.1" 200 29
