127.0.0.1 - - [10/Jan/2022:14:29:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:29:08 +0530] "GET /JSPByKarunakar/index HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:29:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:31:56 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 500 11252
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:31:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:33:01 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 500 11252
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:33:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:33:59 +0530] "GET /LearnJSP/DisplayDataFromDatabase.jsp HTTP/1.1" 500 11369
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:33:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:34:30 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:34:30 +0530] "GET /LearnJSP/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:34:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:46 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 500 2338
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:47 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:48 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:48 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:48 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:49 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:49 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:49 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:49 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [10/Jan/2022:14:37:59 +0530] "GET /LearnJSP/NewFile.jsp HTTP/1.1" 500 2338
